"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_APICAL_SURFACE",0.919402985074627,1,0.0684714904492087,0.232212303961263,0.75826488704922,42,"GATA3;ATP6V0A4;SCUBE1;CRYBG1;CD160;GSTM3;CX3CL1;SLC2A4;MAL;ATP8B1"
"HALLMARK_APOPTOSIS",1,1,0.0822054920415869,0.167758773200425,0.680306521787671,159,"CD2;TNF;GSTM1;PRF1;IFNB1;EGR3;IL1A;FASLG;TGFB2;PEA15;BIK;SATB1;HMOX1;GNA15;PMAIP1;FAS;LGALS3;RHOB;SC5D;PLCB2;RARA;GADD45B"
"HALLMARK_BILE_ACID_METABOLISM",1,1,0.0266052822097738,-0.161007259778799,-0.548126636547008,108,"TTR;NR1H4;ABCA4;RXRA;GC;ABCA1;AR;SLCO1A2;ABCG8;ATXN1;ABCA6;ALDH8A1;CYP7B1;ABCA9;HSD3B7;EPHX2;SLC23A2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1,1,0.0304894126298511,-0.112019638510902,-0.358743272141604,74,"MAL2;CLU;GLDC;ACSS2;CPEB2;AVPR1A;ANXA13;ALCAM;ERRFI1;LPL;PLSCR1;TMEM97;JAG1;CBS;PCYT2;MVK;TRIB3;EBP;CHKA;SCD;NFIL3;SEMA3B;FADS2;CXCL16;GUSB;ANTXR2;CTNNB1;SREBF2"
"HALLMARK_COAGULATION",0.193798449612403,1,0.199915231309662,0.28084526886161,1.11575980409184,134,"C9;MEP1A;MMP15;F11;COMP;MMP7;GP9;APOC2;ACOX2;APOA1;PROC;DPP4;CD9;CTSE;RGN;ITGB3;THBD;A2M;ITIH1;F12;GDA;RAPGEF3;HNF4A;CFB;SERPING1;S100A1;MMP9;TMPRSS6"
"HALLMARK_COMPLEMENT",0.995073891625616,1,0.0908241419007155,0.183641380128783,0.760229286006071,198,"C9;S100A12;CR1;MMP15;GATA3;KLK1;GP9;SCG3;DGKG;C4BPB;S100A9;DPP4;LCK;CTSS"
"HALLMARK_DNA_REPAIR",1,1,0.0252712808055621,-0.0983273306797554,-0.34588401528909,149,"CMPK2;ADCY6;TYMS;RFC3;POLA1;NPR2;RRM2B;DDB2;ZNF707;POLD1;DGCR8;RAD51;RFC4;NFX1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.99252801992528,1,0.0230827802358481,-0.19006089950992,-0.690790161857084,200,"MMP3;LAMA3;VCAM1;PRSS2;SGCD;CDH6;CXCL12;LAMA1;CRLF1;GEM;PTHLH;IL6;COL8A2;BMP1;FGF2;PRRX1;MFAP5;WNT5A;COL1A2;TNFRSF11B;FBLN1;ECM1;FZD8;IL15;ITGAV;SNAI2;DST;ACTA2;CXCL8;MSX1;MCM7;FAP;HTRA1;TNC;COL5A1;ECM2;COLGALT1;FOXC2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.474937343358396,1,0.0584693210386381,-0.275100030291466,-0.997451298161477,195,"GFRA1;INHBB;KCNK15;TFF3;TUBB2B;MPPED2;DHRS3;SLC24A3;CXCL12;ZNF185;SLC7A2;PTGES;SYNGR1;RAB17;CBFA2T3;CALB2;LRIG1;CALCR;CLIC3;SYBU;FRK;AR;TIAM1;PDLIM3;ELOVL2;SCNN1A;SCARB1;GAB2;MYBL1;ADCY9;KRT18;NRIP1;CLDN7;SLC7A5;WWC1;NCOR2;KDM4B;RRP12;ANXA9;TFAP2C;SNX24;KRT15;ELF3;ABHD2;PODXL;SVIL"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.967289719626168,1,0.0894366833718621,0.197567979077845,0.818099845840458,193,"OLFM1;TMPRSS3;SERPINA3;CISH;SCUBE2;KCNK5;ACOX2;CELSR2;SULT2B1;GPER1;CCN5;FGFR3;S100A9;CD9;KLK11;EGR3;TPSAB1;HR;EMP2;IL17RB;TOB1;TJP3;KRT19;FOXC1;RET;PTGER3;BATF;LAMC2;NMU;CYP26B1"
"HALLMARK_FATTY_ACID_METABOLISM",1,1,0.024919740580511,-0.157089501076861,-0.553444930326117,152,"GAD2;GAPDHS;REEP6;ACADL;ME1;FMO1;CD1D;TDO2;BMPR1B;FABP2;LTC4S;AOC3;CRYZ"
"HALLMARK_GLYCOLYSIS",1,1,0.0235084845013289,-0.163279193357056,-0.590662470364705,197,"GAL3ST1;TFF3;PKP2;ARTN;GAPDHS;DSC2;ME1;DPYSL4;PGAM2;GPR87;HOMER1;PPFIA4;PAM;SLC25A10;LDHC;XYLT2;ABCB6;ALDH7A1;GNE;DEPDC1;CHST1;FUT8;TGFA;CDK1;GLCE;HS2ST1;ELF3;COL5A1;PFKFB1"
"HALLMARK_HEDGEHOG_SIGNALING",0.853994490358127,1,0.0681513438679483,0.239808409204328,0.768459542421261,36,"NKX6-1;SHH;ADGRG1;GLI1;TLE1;VLDLR;SCG2;CELSR1"
"HALLMARK_HEME_METABOLISM",1,1,0.0237208606775806,-0.142833722363279,-0.515798685471598,193,"EPB42;RHAG;TRIM10;RAP1GAP;HBQ1;TRIM58;GATA1;C3;HBD;SNCA;HBB;MYL4;IGSF3;XK;OSBP2;MOCOS;CA2;ABCB6;CA1;SLC30A1;ARHGEF12"
"HALLMARK_HYPOXIA",1,1,0.0905428948469474,0.143782318992933,0.595222763146521,198,"PPARGC1A;SULT2B1;CDKN1C;CCN5;BCAN;PGF;GPC3;SLC2A5;GCK;EFNA1;IGFBP1;SDC3;RRAGD;KIF5A;NCAN;GPC4;HMOX1;ACKR3;DDIT4;BTG1;CXCR4;CP;VLDLR;TNFAIP3;DUSP1;S100A4;SDC2;PLAC8;PFKFB3"
"HALLMARK_IL2_STAT5_SIGNALING",0.985221674876847,1,0.0913924325943768,0.192688942281527,0.797683925644765,198,"CCR4;LTB;EOMES;CISH;PENK;HOPX;ITIH5;MAP6;ICOS;IL2RA;CDKN1C;IL1RL1;CTLA4;SYT11;SELL;CD48;SELP;RRAGD;SOCS2;TNFRSF9;IL13;CD83;S100A1;SYNGR2;SMPDL3A;BATF;SOCS1;BATF3;GPR65;RNH1;RHOB;TRAF1;GADD45B;CCND3;PTGER2;ITGAE;AHR;CAPG"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.805555555555556,1,0.083129129135339,0.228044970894293,0.85208700118169,85,"TNF;LTB;IL2RA;CXCL11;CD9;ACVRL1;EBI3;ITGB3;CXCL13;A2M;IL17RB;CCL7;DNTT;HMOX1;IL7;FAS;SOCS1;IFNGR2"
"HALLMARK_INFLAMMATORY_RESPONSE",0.701421800947867,1,0.109684061970549,0.224001951892864,0.931688986000823,197,"LAMP3;IL7R;STAB1;MEP1A;KCNMB2;NPFFR2;FPR1;OSM;P2RY2;PROK2;CXCL11;CCR7;GPC3;LCK;LTA;SELL;CD48;EBI3;IL1A;C5AR1;SLC1A2;ITGB3;IFITM1;SCN1B;PDPN;NLRP3;NMI;TNFRSF9;AQP9;TNFSF9;ADGRE1;CCL7;PTGER4;CCL5;GNA15;CD40;IRAK2;IFNGR2;C3AR1;PTGIR;CX3CL1;CD82;LCP2;PTGER2;LY6E;HRH1;CD55;AHR;HPN;CYBB;SLAMF1;KCNA3;CXCL9"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.188888888888889,1,0.197822021315103,0.295287887730362,1.12244460457583,96,"LAMP3;RSAD2;IFITM2;CXCL11;SELL;IFITM1;DDX60;HLA-C;NMI;UBE2L6;TRIM21;IL7;IFI44;IFI44L;SAMD9;B2M;LY6E;LGALS3BP;TMEM140;GBP2;PROCR;HERC6;CXCL10;PSMB9;LPAR6;CD74;IFI30;PSME1;TRIM5;NUB1;ISG20;IFITM3;CASP1;GMPR;CSF1;TRIM25;IFI35;ISG15"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.989911727616646,1,0.0239329549624917,-0.192807987908381,-0.697980078421044,196,"IFIT2;PTGS2;CMKLR1;SECTM1;VCAM1;IFIT1;MX2;GBP6;GZMA;CMPK2;PLA2G4A;IL6;C1R;MX1;LYSMD2;CDKN1A;AUTS2;CD38;IFIT3;RNF213;CD274;IL15;DHX58;NUP93;LATS2;OASL"
"HALLMARK_KRAS_SIGNALING_DN",0.36697247706422,1,0.155241966228839,0.252063096505405,1.02769700856899,176,"KCNE2;KLHDC8A;ATP4A;SCN10A;RSAD2;ALOX12B;NTF3;TEX15;VPREB1;CLDN16;CKM;YBX2;PAX3;STAG3;GPRC5C;ABCG4;CELSR2;PDCD1;FGFR3;PROP1;THNSL2;ATP6V1B1;SNCB;ZNF112;CCR8;TCL1A;TGFB2;NGB"
